ÿFecha,ÿDescripci¢n,ÿD‚bito,ÿCr‚dito,ÿSaldo Real,ÿSaldo Disponible
15/07/2014,N/D: ND CC TRANSFERENCIA CITIBANK ONLINE,"164,844.00",0,"639,186.48","639,186.48"
16/07/2014,CAFE DE LA TORRE ASOCIMA/SAN JOSE/CR,"2,500.00",0,"636,686.48","636,686.48"
16/07/2014,CAFE DE LA TORRE ASOCIMA/SAN JOSE/CR,"1,000.00",0,"635,686.48","635,686.48"
16/07/2014,CAJERO CITI CSC EL CAFETAL/BANCO CITIBANK CR/HEREDIA/CR,"16,000.00",0,"619,686.48","619,686.48"
16/07/2014,CP COMPANY/SAN JOSE/CR,"20,000.00",0,"599,686.48","599,686.48"
17/07/2014,CAJERO BANCO NACIONAL/SAN JOSE/ 01/CR,"15,000.00",0,"584,686.48","584,686.48"
18/07/2014,PAGO-INST. COST. DE ACUEDUCTOS Y ALCANTARILLADOS,"14,977.00",0,"569,709.48","569,709.48"
18/07/2014,PAGO-COMPANIA NACIONAL DE FUERZA Y LUZ,"11,700.00",0,"558,009.48","558,009.48"
21/07/2014,CAJERO SCOTIABANK/SAN JOSE/CR/CR,"20,000.00",0,"538,009.48","538,009.48"
21/07/2014,CAJERO SCOTIABANK/SAN JOSE/CR/CR,"16,000.00",0,"522,009.48","522,009.48"
22/07/2014,CLARO SAN JOSE/SAN JOSE/CR,"24,749.00",0,"497,260.48","497,260.48"
22/07/2014,SUBWAY PLAZA DEL SOL/SAN JOSE/CR,"3,250.00",0,"494,010.48","494,010.48"
28/07/2014,SEGUNDA QUINCENA JULIO 2014,0,"384,007.07","878,017.55","878,017.55"
30/07/2014,CAJERO FERIAS MOVIL # 1/SAN JOSE/CR,"28,000.00",0,"850,017.55","850,017.55"
30/07/2014,FERIAS MOVIL # 1/SAN JOSE/CR No. 115563481,"1,635.75",0,"848,381.80","848,381.80"
31/07/2014,TFT Pago de Alquiler 87521306,"190,000.00",0,"658,381.80","658,381.80"
31/07/2014,COM TFT Pago de Alquiler 87521306,817.88,0,"657,563.92","657,563.92"
31/07/2014,CAPITALIZACION CC,0,107.52,"657,671.44","657,671.44"
1/8/2014,WIN-FISCHEL-ATH/SAN JOSE/CR,"12,605.25",0,"645,066.19","645,066.19"
1/8/2014,GESSA GRAN VIA/SAN JOSE/CR,"4,371.00",0,"640,695.19","640,695.19"
1/8/2014,LIB.UNIVERSAL/REVELADOS F/SAN JOSE/CR,"131,090.00",0,"509,605.19","509,605.19"
4/8/2014,CINEPOLIS METROPOLI WEB/CARTAGO/CR,"16,400.00",0,"493,205.19","493,205.19"
4/8/2014,CAJERO MUTUAL CARTAGO/CARTAGO/CR/CR,"26,000.00",0,"467,205.19","467,205.19"
4/8/2014,CINEPOLIS DULCERIA METROP/CARTAGO/CR,"17,350.00",0,"449,855.19","449,855.19"
4/8/2014,TACO BELL DESAMPARADOS/SAN JOSE/CR,"4,545.00",0,"445,310.19","445,310.19"
4/8/2014,WENDY S/SAN JOSE/CR,"4,200.00",0,"441,110.19","441,110.19"
4/8/2014,CAJERO CITI CSC EL CAFETAL/BANCO CITIBANK CR/HEREDIA/CR,"16,000.00",0,"425,110.19","425,110.19"
6/8/2014,CAFE DE LA TORRE ASOCIMA/SAN JOSE/CR,"2,500.00",0,"422,610.19","422,610.19"
6/8/2014,CAJERO CITI CSC EL CAFETAL/BANCO CITIBANK CR/HEREDIA/CR,"16,000.00",0,"406,610.19","406,610.19"
6/8/2014,MAS X MENOS GUADALUPE DI/SAN JOSE/CR,"10,519.00",0,"396,091.19","396,091.19"
8/8/2014,CAJERO CITI CSC EL CAFETAL/BANCO CITIBANK CR/HEREDIA/CR,"16,000.00",0,"380,091.19","380,091.19"
8/8/2014,BUFFALO S JOE BELEN/HEREDIA/CR,"6,983.40",0,"373,107.79","373,107.79"
8/8/2014,CAJERO CITI CSC EL CAFETAL/BANCO CITIBANK CR/HEREDIA/CR,"100,000.00",0,"273,107.79","273,107.79"
11/8/2014,CAJERO SCOTIABANK/SAN JOSE/CR/CR,"16,000.00",0,"257,107.79","257,107.79"
13/08/2014,PRIMERA QUINCENA AGOSTO 2014,0,"381,986.32","639,094.11","639,094.11"
16/08/2014,PAGO-TIGO,"20,580.00",0,"618,514.11","618,514.11"
16/08/2014,N/D: ND CC TRANSFERENCIA CITIBANK ONLINE,"109,150.00",0,"509,364.11","509,364.11"
16/08/2014,N/D: ND CC TRANSFERENCIA CITIBANK ONLINE,"57,303.75",0,"452,060.36","452,060.36"
18/08/2014,CAJERO SJO-AM/PM FRESES/SAN JOSE/CR,"20,000.00",0,"432,060.36","432,060.36"
18/08/2014,SJO-AM/PM FRESES/SAN JOSE/CR No. 916006508,"1,638.00",0,"430,422.36","430,422.36"
19/08/2014,PAGO-COMPANIA NACIONAL DE FUERZA Y LUZ,"10,730.00",0,"419,692.36","419,692.36"
19/08/2014,PAGO-INST. COST. DE ACUEDUCTOS Y ALCANTARILLADOS,"15,605.00",0,"404,087.36","404,087.36"
19/08/2014,CAJERO CITI CURRIDABAT/BANCO CITIBANK CR/CURRIDABAT/CR/,"16,000.00",0,"388,087.36","388,087.36"
20/08/2014,RADIO SHACK (/SAN JOSE/CR,"11,444.38",0,"376,642.98","376,642.98"
20/08/2014,RESTAURANTE GARIBALDI S/HEREDIA/CR,"11,550.00",0,"365,092.98","365,092.98"
20/08/2014,AM PM RIO ORO/SAN JOSE/CR,"4,955.00",0,"360,137.98","360,137.98"
22/08/2014,RESTAURANTE JR RIBS/SAN JOSE/CR,"10,295.00",0,"349,842.98","349,842.98"
23/08/2014,REST. NUESTRA TIERRA/SAN JOSE/CR,"25,474.00",0,"324,368.98","324,368.98"
25/08/2014,CLARO SAN JOSE/SAN JOSE/CR,"26,907.00",0,"297,461.98","297,461.98"
26/08/2014,N/C: NC CC TRANSFERENCIA CITIBANK ONLINE,0,"10,000.00","307,461.98","307,461.98"
26/08/2014,CAJERO BANCO CATHAY/SAN JOSE/CR/CR,"105,000.00",0,"202,461.98","202,461.98"
26/08/2014,CAJERO BANCO CATHAY/SAN JOSE/CR/CR,"200,000.00",0,"2,461.98","2,461.98"
28/08/2014,SEGUNDA QUINCENA AGOSTO 2014,0,"379,965.57","382,427.55","382,427.55"
28/08/2014,N/D: COBRO REPOSICION TARJETA DEBITO,"3,827.25",0,"378,600.30","378,600.30"
29/08/2014,N/D: ND CC TRANSFERENCIA CITIBANK ONLINE,"30,016.25",0,"348,584.05","348,584.05"
29/08/2014,N/D: ND CC TRANSFERENCIA CITIBANK ONLINE,"109,150.00",0,"239,434.05","239,434.05"
29/08/2014,N/D: ND CC TRANSFERENCIA CITIBANK ONLINE,"80,000.00",0,"159,434.05","159,434.05"
30/08/2014,CAPITALIZACION CC,0,55.88,"159,489.93","159,489.93"
3/9/2014,LIB.UNIVERSAL/REVELADOS F/SAN JOSE/CR,"24,414.00",0,"135,075.93","135,075.93"
4/9/2014,N/D: COMPRA TARJETA DEBITO EN COMERCIO VISA EXT CTE,546,0,"134,529.93","134,529.93"
4/9/2014,N/D: COMPRA TARJETA DEBITO EN COMERCIO VISA EXT CTE,"1,517.00",0,"133,012.93","133,012.93"
4/9/2014,N/D: COMPRA TARJETA DEBITO EN COMERCIO VISA EXT CTE,0,546,"133,558.93","133,558.93"
4/9/2014,CENFOTEC/SAN JOSE/CR,"15,000.00",0,"118,558.93","118,558.93"
4/9/2014,MCDONALD'S PLAZA DE LA CU/SAN JOSE/CR,"8,200.00",0,"110,358.93","110,358.93"
6/9/2014,MCDONALD'S MORAVIA/SAN JOSE/CR,"3,250.00",0,"107,108.93","107,108.93"
8/9/2014,CAFE DE LA TORRE ASOCIMA/SAN JOSE/CR,"3,500.00",0,"103,608.93","103,608.93"
9/9/2014,PAGO-TELE CABLE ECONOMICO TV.,"14,750.00",0,"88,858.93","88,858.93"
9/9/2014,REV PAGO-TELE CABLE ECONOMICO TV.,0,"14,750.00","103,608.93","103,608.93"
10/9/2014,"CAJERO EL CAFETAL, BELEN//HEREDIA/CR","16,000.00",0,"87,608.93","87,608.93"
10/9/2014,BAZAR SAN JOSE/SAN JOSE/CR,"8,200.00",0,"79,408.93","79,408.93"
12/9/2014,PAGO SALARIO I Q SETIEMBRE 2014,0,"381,986.32","461,395.25","461,395.25"
13/09/2014,MC DONALD S CLINICA DE/SAN JOSE/CR,"3,100.00",0,"458,295.25","458,295.25"
13/09/2014,CAJERO /SAN JOSE/CR,"40,000.00",0,"418,295.25","418,295.25"
13/09/2014,CINEPOLIS TM TAQ ECOMM/CARTAGO/CR,"5,600.00",0,"412,695.25","412,695.25"
13/09/2014,CINEPOLIS/CARTAGO/CR,"7,300.00",0,"405,395.25","405,395.25"
13/09/2014,MAS X MENOS CUES.MORAS/SAN JOSE/CR,"10,315.00",0,"395,080.25","395,080.25"
16/09/2014,N/D: ND CC TRANSFERENCIA CITIBANK ONLINE,"166,911.25",0,"228,169.00","228,169.00"
16/09/2014,POPS AVENIDA CENTRAL/SAN JOSE/CR,"4,400.00",0,"223,769.00","223,769.00"
16/09/2014,TFT Pago de Alquiler 87521306,"100,000.00",0,"123,769.00","123,769.00"
16/09/2014,COM TFT Pago de Alquiler 87521306,821.25,0,"122,947.75","122,947.75"
17/09/2014,MUSMANNI EMBAJADA/SAN JOSE/CR,"2,405.00",0,"120,542.75","120,542.75"
24/09/2014,KARAMELO/SAN JOSE/CR,"11,600.00",0,"108,942.75","108,942.75"
25/09/2014,CAJERO SUCURSAL SAN JOSE//SAN JOSE/CR,"13,000.00",0,"95,942.75","95,942.75"
26/09/2014,PAGO SALARIO II Q SETIEMBRE 2014,0,"381,986.32","477,929.07","477,929.07"
27/09/2014,MCDONALD'S PLAZA DE LA/SAN JOSE/CR,"6,450.00",0,"471,479.07","471,479.07"
27/09/2014,CLARO SAN JOSE/SAN JOSE/CR,"26,476.00",0,"445,003.07","445,003.07"
27/09/2014,CAJERO /SAN JOSE/CR,"32,000.00",0,"413,003.07","413,003.07"
29/09/2014,VERTIGO LINCOLN/SAN JOSE/CR,"36,000.00",0,"377,003.07","377,003.07"
29/09/2014,TFT Pago de Alquiler Mes Octubre,"200,000.00",0,"177,003.07","177,003.07"
29/09/2014,COM TFT Pago de Alquiler Mes Octubre,819.75,0,"176,183.32","176,183.32"
29/09/2014,N/D: ND CC TRANSFERENCIA CITIBANK ONLINE,"109,150.00",0,"67,033.32","67,033.32"
30/09/2014,CAPITALIZACION CC,0,17.2,"67,050.52","67,050.52"
1/10/2014,"CAJERO EL CAFETAL, BELEN//HEREDIA/CR","18,000.00",0,"49,050.52","49,050.52"
6/10/2014,"CAJERO EL CAFETAL, BELEN//HEREDIA/CR","16,000.00",0,"33,050.52","33,050.52"
6/10/2014,CARL S JR/CARTAGO/CR,"3,800.00",0,"29,250.52","29,250.52"
6/10/2014,AEROCASILLAS/SAN JOSE/CR,"4,480.00",0,"24,770.52","24,770.52"
8/10/2014,MUSMANNI EMBAJADA/SAN JOSE/CR,"1,665.00",0,"23,105.52","23,105.52"
8/10/2014,CAFE DE LA TORRE ASOCI/SAN JOSE/CR,"3,500.00",0,"19,605.52","19,605.52"
13/10/2014,N/C: NC CC TRANSFERENCIA CITIBANK ONLINE,0,"5,000.00","24,605.52","24,605.52"
13/10/2014,PAGO SALARIO I Q OCTUBRE 2014,0,"381,986.32","406,591.84","406,591.84"
14/10/2014,CAJERO BANCO NACIONAL/SAN JOSE/CR,"24,000.00",0,"382,591.84","382,591.84"
15/10/2014,CAJERO DAVIVIENDA/SAN JOSE/CR,"16,000.00",0,"366,591.84","366,591.84"
16/10/2014,N/D: ND CC TRANSFERENCIA CITIBANK ONLINE,"166,423.25",0,"200,168.59","200,168.59"
17/10/2014,N/D: ND CC TRANSFERENCIA CITIBANK ONLINE,"22,000.00",0,"178,168.59","178,168.59"
21/10/2014,PAGO-INST. COST. DE ACUEDUCTOS Y ALCANTARILLADOS,"20,965.00",0,"157,203.59","157,203.59"
27/10/2014,CAJERO MUTUAL CARTAGO/GUADALUPE/CR,"12,000.00",0,"145,203.59","145,203.59"
27/10/2014,"CAJERO EL CAFETAL, BELEN/BANCO CITIBANK CR/HEREDIA/CR","7,000.00",0,"113,203.59","113,203.59"
27/10/2014,"CAJERO EL CAFETAL, BELEN/BANCO CITIBANK CR/HEREDIA/CR","25,000.00",0,"120,203.59","120,203.59"
28/10/2014,SEGUNDA QUINCENA OCTUBRE 2014,0,"384,007.07","497,210.66","497,210.66"
29/10/2014,"CAJERO EL CAFETAL, BELEN/BANCO CITIBANK CR/HEREDIA/CR","26,000.00",0,"471,210.66","471,210.66"
30/10/2014,TFT Pago de Alquiler 87521306,"200,000.00",0,"271,210.66","271,210.66"
30/10/2014,COM TFT Pago de Alquiler 87521306,817.13,0,"270,393.53","270,393.53"
30/10/2014,N/D: ND CC TRANSFERENCIA CITIBANK ONLINE,"108,900.00",0,"161,493.53","161,493.53"
31/10/2014,N/D: ND CC TRANSFERENCIA CITIBANK ONLINE,"27,225.00",0,"134,268.53","134,268.53"
31/10/2014,CAPITALIZACION CC,0,15.4,"134,283.93","134,283.93"
3/11/2014,"CAJERO EL CAFETAL, BELEN/BANCO CITIBANK CR/HEREDIA/CR","46,000.00",0,"88,283.93","88,283.93"
5/11/2014,CLARO SAN JOSE/SAN JOSE/CR,"25,177.00",0,"63,106.93","63,106.93"
10/11/2014,CARL S JR/CARTAGO/CR,"4,500.00",0,"58,606.93","58,606.93"
10/11/2014,"CAJERO EL CAFETAL, BELEN/BANCO CITIBANK CR/HEREDIA/CR","36,000.00",0,"22,606.93","22,606.93"
12/11/2014,"CAJERO EL CAFETAL, BELEN/BANCO CITIBANK CR/HEREDIA/CR","22,000.00",0,606.93,606.93
13/11/2014,PRIMERA QUINCENA NOVIEMBRE 2014,0,"383,059.32","383,666.25","383,666.25"
13/11/2014,CAJERO BANCO NACIONAL/SAN JOSE/CR,"45,000.00",0,"338,666.25","338,666.25"
17/11/2014,N/D: ND CC TRANSFERENCIA CITIBANK ONLINE,"54,275.00",0,"284,391.25","284,391.25"
17/11/2014,N/D: ND CC TRANSFERENCIA CITIBANK ONLINE,"57,015.00",0,"227,376.25","227,376.25"
19/11/2014,BOUTIQUE ONIX/SAN JOSE/CR,"45,000.00",0,"182,376.25","182,376.25"
19/11/2014,AEROCASILLAS/CARTAGO/CR,"23,973.00",0,"158,403.25","158,403.25"
20/11/2014,PAGO-INST. COST. DE ACUEDUCTOS Y ALCANTARILLADOS,"16,024.00",0,"142,379.25","142,379.25"
21/11/2014,TFT Pago de Tarjeta o Prestamo 87521306,"120,000.00",0,"22,379.25","22,379.25"
21/11/2014,COM TFT Pago de Tarjeta o Prestamo 87521306,813.75,0,"21,565.50","21,565.50"
26/11/2014,CAJERO SCOTIABANK/SAN JOSE/CR,"16,000.00",0,"5,565.50","5,565.50"
27/11/2014,PAGO SALARIO II Q NOVIEMBRE 2014,0,"355,393.69","360,959.19","360,959.19"
